geoid,location,county,year_implemented,policy_type,cfhp,nuisance,repeal,repeal_date
662000,riverside,riverside,2005,cfhp,1,0,F,NA
662546,rohnert park,sonoma,2012,nuisance_general,0,1,F,NA
662602,rolling hills,los angeles,2003,nuisance_drug,0,1,F,NA
662644,rolling hills estates,los angeles,2003,nuisance_drug,0,1,F,NA
662896,rosemead,los angeles,2003,nuisance_drug,0,1,F,NA
664000,sacramento,sacramento,2010,nuisance_drug,0,1,Partial,2019
664140,st. helena,napa,2002,nuisance_general,0,1,F,NA
665000,san bernardino,san bernardino,2011,cfhp,1,0,F,NA
666000,san diego,san diego,2010,cfhp,1,0,F,NA
666070,san dimas,los angeles,2003,nuisance_drug,0,1,F,NA
666140,san fernando,los angeles,2003,nuisance_drug,0,1,F,NA
667042,san gabriel,los angeles,2003,nuisance_drug,0,1,F,NA
667112,san jacinto,riverside,2012,nuisance_general,0,1,F,NA
668000,san jose,santa clara,2008,nuisance_general,0,1,F,NA
668014,san juan bautista,san benito,2017,nuisance_general,0,1,F,NA
668084,san leandro,alameda,2008,cfhp,1,0,F,NA
668196,san marcos,san diego,2016,cfhp,1,0,F,NA
668224,san marino,los angeles,2003,nuisance_drug,0,1,F,NA
668294,san pablo,contra costa,,cfhp,1,0,F,NA
668378,san ramon,contra costa,2007,cfhp,1,0,F,NA
669088,santa clarita,los angeles,2003,nuisance_drug,0,1,F,NA
669154,santa fe springs,los angeles,2003,nuisance_drug,0,1,F,NA
670000,santa monica,los angeles,2003,nuisance_drug,0,1,F,NA
670042,santa paula,ventura,2006,nuisance_general,0,1,F,NA
670224,santee,san diego,2010,cfhp,1,0,F,NA
671806,sierra madre,los angeles,2003,nuisance_drug,0,1,F,NA
671876,signal hill,los angeles,2003,nuisance_drug,0,1,F,NA
672506,solana beach,san diego,2010,cfhp,1,0,F,NA
672996,south el monte,los angeles,2003,nuisance_drug,0,1,F,NA
673080,south gate,los angeles,2003,nuisance_drug,0,1,F,NA
673220,south pasadena,los angeles,2003,nuisance_drug,0,1,F,NA
673262,south san francisco,san mateo,1997,nuisance_general,0,1,F,NA
675000,stockton,san joaquin,2003,cfhp,1,0,F,NA
678092,tehachapi,kern,2015,nuisance_general,0,1,F,NA
678120,temecula,riverside,2012,cfhp,1,0,F,NA
678148,temple city,los angeles,2003,nuisance_drug,0,1,F,NA
680000,torrance,los angeles,2003,nuisance_drug,0,1,F,NA
680448,trinidad,humboldt,1994,nuisance_drug,0,1,F,NA
680994,twentynine palms,san bernardino,1989,nuisance_gang,0,1,F,NA
681204,union city,alameda,2012,cfhp,1,0,F,NA
681344,upland,san bernardino,2017,nuisance_general,0,1,F,NA
681554,vacaville,solano,2006,cfhp,1,0,F,NA
681666,vallejo,solano,2007,cfhp,1,0,T,2020
682422,vernon,los angeles,2003,nuisance_drug,0,1,F,NA
682590,victorville,san bernardino,2013,cfhp,1,0,F,NA
682954,visalia,tulare,2008,nuisance_general,0,1,F,NA
682996,vista,san diego,2016,cfhp,1,0,F,NA
683332,walnut,los angeles,2003,nuisance_drug,0,1,F,NA
683346,walnut creek,contra costa,,cfhp,1,0,F,NA
684200,west covina,los angeles,1997,cfhp,1,0,F,NA
684410,west hollywood,los angeles,2003,nuisance_drug,0,1,F,NA
684438,westlake village,los angeles,2003,nuisance_drug,0,1,F,NA
684816,west sacramento,yolo,2003,nuisance_general,0,1,F,NA
685292,whittier,los angeles,2003,nuisance_drug,0,1,F,NA
685446,wildomar,riverside,,cfhp,1,0,F,NA
685586,williams,colusa,2013,nuisance_general,0,1,F,NA
686328,woodland,yolo,2019,cfhp,1,0,F,NA
687042,yucaipa,san bernardino,2009,cfhp,1,0,F,NA
687056,yucca valley,san bernardino,,cfhp,1,0,F,NA
