"county_geoid","place_geoid","tract_geoid","county","place","tract","county_pop","place_pop","tract_pop","overlap_percent"
6037,645400,6037620901,"Los Angeles","Manhattan Beach","Census Tract 6209.01, Los Angeles County, California",10081570,35500,2785,1
6037,613756,6037400205,"Los Angeles","Claremont","Census Tract 4002.05, Los Angeles County, California",10081570,36090,2846,0.997373194207927
6037,640830,6037400205,"Los Angeles","La Verne","Census Tract 4002.05, Los Angeles County, California",10081570,32211,2846,0.0026268057920732
6087,616434,6087122400,"Santa Cruz","Corralitos CDP","Census Tract 1224, Santa Cruz County, California",273962,2160,7247,0.456012321709796
6087,618153,6087122400,"Santa Cruz","Day Valley CDP","Census Tract 1224, Santa Cruz County, California",273962,3033,7247,0.073529996485828
6087,602382,6087122400,"Santa Cruz","Aptos Hills-Larkin Valley CDP","Census Tract 1224, Santa Cruz County, California",273962,2251,7247,0.470457681804376
6087,669112,6087100500,"Santa Cruz","Santa Cruz","Census Tract 1005, Santa Cruz County, California",273962,64522,6440,1
6087,683668,6087110100,"Santa Cruz","Watsonville","Census Tract 1101, Santa Cruz County, California",273962,53800,7760,0.717424357255655
6087,636613,6087110100,"Santa Cruz","Interlaken CDP","Census Tract 1101, Santa Cruz County, California",273962,7817,7760,0.282575642744345
6071,653896,6071001704,"San Bernardino","Ontario","Census Tract 17.04, San Bernardino County, California",2149031,176760,5273,0.911076837938819
6071,613210,6071001704,"San Bernardino","Chino","Census Tract 17.04, San Bernardino County, California",2149031,89631,5273,0.088923162061181
6037,643000,6037573300,"Los Angeles","Long Beach","Census Tract 5733, Los Angeles County, California",10081570,466776,4158,1
6081,633798,6081605600,"San Mateo","Hillsborough","Census Tract 6056, San Mateo County, California",767423,11447,6099,1
6071,642370,6071007306,"San Bernardino","Loma Linda","Census Tract 73.06, San Bernardino County, California",2149031,24184,6070,1
6073,666000,6073010004,"San Diego","San Diego","Census Tract 100.04, San Diego County, California",3316073,1409573,5218,1
6065,616350,6065041813,"Riverside","Corona","Census Tract 418.13, Riverside County, California",2411439,166972,7165,1
6059,648256,6059032049,"Orange","Mission Viejo","Census Tract 320.49, Orange County, California",3168044,95516,9613,0.220595629576502
6059,659587,6059032049,"Orange","Rancho Santa Margarita","Census Tract 320.49, Orange County, California",3168044,48503,9613,0.779404370423498
6037,611796,6037920116,"Los Angeles","Castaic CDP","Census Tract 9201.16, Los Angeles County, California",10081570,19400,5481,0.897367874382095
6037,632385,6037920116,"Los Angeles","Hasley Canyon CDP","Census Tract 9201.16, Los Angeles County, California",10081570,1145,5481,0.102632125617905
6037,644000,6037139303,"Los Angeles","Los Angeles","Census Tract 1393.03, Los Angeles County, California",10081570,3966936,4260,1
6037,644000,6037128302,"Los Angeles","Los Angeles","Census Tract 1283.02, Los Angeles County, California",10081570,3966936,5000,1
6071,642370,6071007800,"San Bernardino","Loma Linda","Census Tract 78, San Bernardino County, California",2149031,24184,5698,0.0858099568048645
6071,659962,6071007800,"San Bernardino","Redlands","Census Tract 78, San Bernardino County, California",2149031,71198,5698,0.914190043195136
6037,644000,6037980031,"Los Angeles","Los Angeles","Census Tract 9800.31, Los Angeles County, California",10081570,3966936,1175,1
