geoid,location,county,year_implemented,policy_type,treated,repeal,repeal_date,nuisance
614274,coalinga,fresno,2018,nuisance_drugs,0,F,NA,1
614736,colma,san mateo,2005,nuisance_drug,0,F,NA,1
614890,colton,san bernardino,2010,cfmhp,1,F,NA,0
614974,commerce,los angeles,1990,nuisance_drugs,0,F,NA,1
615044,compton,los angeles,2003,nuisance_drug,0,F,NA,1
616000,concord,contra costa,,nuisance_drugs,0,F,NA,1
616378,coronado,san diego,,nuisance_drugs,0,F,NA,1
616532,costa mesa,orange,2014,cfmhp,1,F,NA,0
616742,covina,los angeles,,cfmhp,1,F,NA,0
617022,crescent city,del norte,2018,cfmhp,1,F,NA,0
617498,cudahy,los angeles,2003,nuisance_drug,0,F,NA,1
617568,culver city,los angeles,2003,nuisance_drug,0,F,NA,1
617988,danville,contra costa,,cfmhp,1,F,NA,0
618100,davis,yolo,1995,cfmhp,1,F,NA,0
618506,del mar,san diego,2010,cfmhp,1,F,NA,0
619192,diamond bar,los angeles,,None,0,F,NA,0
619766,downey,los angeles,2003,nuisance_drug,0,F,NA,1
619990,duarte,los angeles,1990,nuisance_drugs,0,F,NA,1
620018,dublin,alameda,2007,cfmhp,1,F,NA,0
621230,eastvale,riverside,2013,cfmhp,1,F,NA,0
621712,el cajon,san diego,1997,cfmhp,1,F,NA,0
621810,el cerrito,contra costa,,cfmhp,1,F,NA,0
622020,elk grove,sacramento,1998,nuisance_general,0,F,NA,1
622230,el monte,los angeles,2015,cfmhp,1,F,NA,0
622412,el segundo,los angeles,2003,nuisance_drug,0,F,NA,1
622594,emeryville,alameda,2007,cfmhp,0.5,F,NA,0
622678,encinitas,san diego,2014,cfmhp,1,F,NA,0
622790,escalon,san joaquin,1992,nuisance_gang,0,F,NA,1
622804,escondido,san diego,2006,cfmhp,1,F,NA,0
623042,eureka,humboldt,2015,nuisance_drug,0,F,NA,1
623182,fairfield,solano,,cfmhp,1,F,NA,0
624638,folsom,sacramento,1998,nuisance_general,0,F,NA,1
624680,fontana,san bernardino,1999,cfmhp,1,F,NA,0
625296,fortuna,humboldt,,cfmhp,1,F,NA,0
625436,fowler,fresno,2017,nuisance_general,0,F,NA,1
626000,fremont,alameda,,cfmhp,1,F,NA,0
627000,fresno,fresno,,cfmhp,1,F,NA,0
628112,galt,sacramento,1998,nuisance_general,0,F,NA,1
628168,gardena,los angeles,2012,nuisance_ordinance,0,F,NA,1
630000,glendale,los angeles,1999,cfmhp,1,F,NA,0
630014,glendora,los angeles,2003,nuisance_drug,0,F,NA,1
630658,grand terrace,san bernardino,,unsure,0.5,F,NA,0
630798,grass valley,nevada,2010,nuisance_general,0,F,NA,1
631960,hanford,kings,1998,cfmhp,1,F,NA,0
632506,hawaiian gardens,los angeles,1990,drug_nuisance,0,F,NA,1
632548,hawthorne,los angeles,2016,cfmhp,1,F,NA,0
633000,hayward,alameda,2003,cfmhp,1,F,NA,0
633182,hemet,riverside,2013,cfmhp,1,F,2021,0
633308,hercules,contra costa,,cfmhp,1,F,NA,0
633364,hermosa beach,los angeles,2003,nuisance_drug,0,F,NA,1
633434,hesperia,san bernardino,2016,cfmhp,1,F,NA,0
633518,hidden hills,los angeles,2003,nuisance_drug,0,F,NA,1
633588,highland,san bernardino,2015,cfmhp,1,F,NA,0
634120,hollister,san benito,2017,nuisance_general,0,F,NA,1
634904,hughson,stanislaus,2006,nuisance_general,0,F,NA,1
636000,huntington beach,orange,1998,nuisance_general,0,F,NA,1
636056,huntington park,los angeles,2000,nuisance_general,0,F,NA,1
636294,imperial beach,san diego,2010,cfmhp,1,F,NA,0
636448,indio,riverside,1996,cfmhp,1,F,NA,0
636490,industry,los angeles,2003,nuisance_drug,0,F,NA,1
636546,inglewood,los angeles,2003,nuisance_drug,0,F,NA,1
636672,ione,amador,2009,nuisance_general,0,F,NA,1
636826,irwindale,los angeles,2003,nuisance_drug,0,F,NA,1
636882,isleton,sacramento,1998,nuisance_general,0,F,NA,1
638226,kerman,fresno,,cfmhp,1,F,NA,0
638520,king city,monterey,2017,nuisance_general,0,F,NA,1
639122,lafayette,contra costa,,cfmhp,1,F,NA,0
639290,la habra,orange,1999,nuisance_gang_drug; cfmhp?,0,F,NA,1
639304,la habra heights,los angeles,2003,nuisance_drug,0,F,NA,1
639486,lake elsinore,riverside,,cfmhp,1,F,NA,0
639892,lakewood,los angeles,2003,nuisance_drug,0,F,NA,1
640004,la mesa,san diego,1999,cfmhp,1,F,NA,0
640032,la mirada,los angeles,1999,nuisance_drug,0,F,NA,1
640130,lancaster,los angeles,2007,cfmhp,1,F,NA,0
640340,la puente,los angeles,2003,nuisance_drug,0,F,NA,1
640354,la quinta,riverside,2009,cfmhp,1,F,NA,0
640830,la verne,los angeles,2003,nuisance_drug,0,F,NA,1
640886,lawndale,los angeles,1997,nuisance_general,0,F,NA,1
641124,lemon grove,san diego,2015,cfmhp,1,F,NA,0
641152,lemoore,kings,2005,cfmhp,1,F,NA,0
641992,livermore,alameda,2014,cfmhp,1,F,NA,0
642370,loma linda,san bernardino,,cfmhp,1,F,NA,0
